You entered 0.33  with key psubusq_0_0_0 
You entered 0.33  with key paddusq_0_0_0 
You entered 0.33  with key psubsq_0_0_0 
You entered 0.33  with key paddsq_0_0_0 
You entered 0.33  with key psubq_0_0_0 
You entered 0.33  with key paddq_0_0_0 
You entered 0.33  with key psubusd_0_0_0 
You entered 0.33  with key paddusd_0_0_0 
You entered 0.33  with key psubsd_0_0_0 
You entered 0.33  with key paddsd_0_0_0 
You entered 0.33  with key psubd_0_0_0 
You entered 0.33  with key paddd_0_0_0 
You entered 0.33  with key psubusw_0_0_0 
You entered 0.33  with key paddusw_0_0_0 
You entered 0.33  with key psubsw_0_0_0 
You entered 0.33  with key paddsw_0_0_0 
You entered 0.33  with key psubw_0_0_0 
You entered 0.33  with key paddw_0_0_0 
You entered 0.33  with key psubusb_0_0_0 
You entered 0.33  with key paddusb_0_0_0 
You entered 0.33  with key psubsb_0_0_0 
You entered 0.33  with key paddsb_0_0_0 
You entered 0.33  with key psubb_0_0_0 
You entered 0.33  with key paddb_0_0_0 
You entered 0.33  with key psubus_0_0_0 
You entered 0.33  with key paddus_0_0_0 
You entered 0.33  with key psubs_0_0_0 
You entered 0.33  with key padds_0_0_0 
You entered 0.33  with key psub_0_0_0 
You entered 0.33  with key padd_0_0_0 
You entered 3  with key vpgatherqq_0_0_0 
You entered 3  with key vpgatherdq_0_0_0 
You entered 3  with key vpgatherqd_0_0_0 
You entered 4.5  with key vpgatherdd_0_0_0 
You entered 0.5  with key vbroadcasti128_0_0_0 
You entered 0.5  with key vpbroadcastq_0_m_0 
You entered 0.5  with key vpbroadcastd_0_m_0 
You entered 1  with key vpbroadcastw_0_m_0 
You entered 1  with key vpbroadcastb_0_m_0 
You entered 1  with key vpbroadcastq_0_0_0 
You entered 1  with key vpbroadcastd_0_0_0 
You entered 1  with key vpbroadcastw_0_0_0 
You entered 1  with key vpbroadcastb_0_0_0 
You entered 0.5  with key vinserti128_0_0_m 
You entered 1  with key vinserti128_0_0_0 
You entered 1  with key pinsrq_0_m_0 
You entered 1  with key pinsrd_0_m_0 
You entered 2  with key pinsrq_0_r_0 
You entered 2  with key pinsrd_0_r_0 
You entered 1  with key pinsrw_0_m_0 
You entered 2  with key pinsrw_0_r_0 
You entered 1  with key pinsrb_0_m_0 
You entered 2  with key pinsrb_0_r_0 
You entered 1  with key vextracti128_0_0_0 
You entered 1  with key pextrq_0_0_0 
You entered 1  with key pextrd_0_0_0 
You entered 1  with key pextrw_0_0_0 
You entered 1  with key pextrb_0_0_0 
You entered 1  with key pmovmskb_0_0_0 
You entered 1  with key vpmaskmovq_m_0_0 
You entered 1  with key vpmaskmovd_m_0_0 
You entered 0.5  with key vpmaskmovq_0_0_m 
You entered 0.5  with key vpmaskmovd_0_0_m 
You entered 6  with key maskmovdqu_0_0_0 
You entered 2  with key maskmovq_0_0_0 
You entered 1  with key vperm2i128_0_0_0 
You entered 1  with key vpermq_0_0_0 
You entered 1  with key vpermd_0_0_0 
You entered 0.5  with key vpblendd_0_0_m 
You entered 0.33  with key vpblendd_0_0_0 
You entered 1  with key pblendw_0_0_0 
You entered 2  with key vpblendvb_0_0_m 
You entered 2  with key pblendvb_0_m_0 
You entered 1  with key vpblendvb_0_0_0 
You entered 1  with key pblendvb_0_0_0 
You entered 1  with key palignr_0_0_0 
You entered 1  with key pshufhw_0_0_0 
You entered 1  with key pshuhw_0_0_0 
You entered 1  with key pshufl_0_0_0 
You entered 1  with key pshufbd_0_0_0 
You entered 1  with key pshufw_0_0_0 
You entered 1  with key pshufb_0_0_0 
You entered 1  with key vpmovdq_0_0_0 
You entered 1  with key vpmovdw_0_0_0 
You entered 1  with key vpmovbq_0_0_0 
You entered 1  with key vpmovbd_0_0_0 
You entered 1  with key vpmovbw_0_0_0 
You entered 1  with key vpmovzx_0_0_0 
You entered 1  with key vpmovsx_0_0_0 
You entered 1  with key pmovdq_0_0_0 
You entered 1  with key pmovdw_0_0_0 
You entered 1  with key pmovbq_0_0_0 
You entered 1  with key pmovbd_0_0_0 
You entered 1  with key pmovbw_0_0_0 
You entered 1  with key pmovzx_0_0_0 
You entered 1  with key pmovsx_0_0_0 
You entered 1  with key punpcklqdq_0_0_0 
You entered 1  with key punpckhqdq_0_0_0 
You entered 1  with key punpckdq_0_0_0 
