name,op1,op2,op3,weight,
paddsd,,m,m,0.5,
psubsd,,m,m,0.5,
paddusd,,m,m,0.5,
psubusd,,m,m,0.5,
paddq,,m,m,0.5,
psubq,,m,m,0.5,
paddsq,,m,m,0.5,
psubsq,,m,m,0.5,
paddusq,,m,m,0.5,
psubusq,,m,m,0.5,
phadd,,,,2,
phadds,,,,2,
phsub,,,,2,
phsubs,,,,2,
phaddw,,,,2,
phaddsw,,,,2,
phsubw,,,,2,
phsubsw,,,,2,
phaddd,,,,2,
phaddsd,,,,2,
phsubd,,,,2,
phsubsd,,,,2,
pcmpeqb,,,,0.5,
pcmpeqw,,,,0.5,
pcmpeqd,,,,0.5,
pcmpgtb,,,,0.5,
pcmpgtw,,,,0.5,
pcmpgtd,,,,0.5,
pcmpeqb,m,m,,1,
pcmpeqw,m,m,,1,
pcmpeqd,m,m,,1,
pcmpgtb,m,m,,1,
pcmpgtw,m,m,,1,
pcmpgtd,m,m,,1,
pcmpeqq,,,,0.5,
pcmpgtq,,,,1,
pmull,,,,0.5,
pmullhw,,,,0.5,
pmulhuw,,,,0.5,
pmull,m,m,,1,
pmullhw,m,m,,1,
pmulhuw,m,m,,1,
pmulhrsw,,,,0.5,
pmulld,,,,1,
pmuldq,,,,0.5,
pmuludq,,,,0.5,
pmaddwd,,,,0.5,
pmaddubsw,,,,0.5,
,,,,,
pmulhw,,,,1,
,,,,,
,,,,,
pavgb,,,,0.5,
pavgw,,,,0.5,
pmin,,,,0.5,
pmax,,,,0.5,
pminsb,,,,0.5,
pmaxsb,,,,0.5,
pminsw,,,,0.5,
pmaxsw,,,,0.5,
pminsd,,,,0.5,
pmaxsd,,,,0.5,
pminub,,,,0.5,
pmaxub,,,,0.5,
pminuw,,,,0.5,
pmaxuw,,,,0.5,
pminud,,,,0.5,
pmaxud,,,,0.5,
phminposuw,,,,1,
pabsb,,,,0.5,
pabsw,,,,0.5,
pabsd,,,,0.5,
psignb,,,,0.5,
psignw,,,,0.5,
psignd,,,,0.5,
psadbw,,,,1,
mpsadbw,,,,2,
,,,,,
pand,,,,0.33,
pandn,,,,0.33,
por,,,,0.33,
pxor,,,,0.33,
pand,,m,,0.5,
pandn,,m,,0.5,
por,,m,,0.5,
pxor,,m,,0.5,
pand,,,m,0.5,
pandn,,,m,0.5,
por,,,m,0.5,
pxor,,,m,0.5,
ptest,,,,1,
psllw,,,,1,
pslld,,,,1,
psllq,,,,1,
psrlw,,,,1,
psrld,,,,1,
psrlq,,,,1,
psraw,,,,1,
psraq,,,,1,
psrad,,,,1,
vpsllvd,,,,0.5,
vpsllvq,,,,0.5,
vpsravd,,,,0.5,
vpsrlvd,,,,0.5,
vpsrlvq,,,,0.5,
vpsllvd,,,,0.5,
vpsllvq,,,,0.5,
vpsravd,,,,0.5,
vpsrlvd,,,,0.5,
vpsrlvq,,,,0.5,
pslldq,,,,1,
