,bb,energy
68,"('cmp $0x3feeffff, %eax', 'jnle 0x2bb')","[0.2653715721109038, 0.8837830466375989]"
69,"('cmp $0x3fefffff, %eax', 'jnle 0x19c')","[0.1257095239931099, 0.8837830466375989]"
70,"('cmp $0x3fefffff, %eax', 'jnle 0x21b')","[0.2653715721109038, 0.8837830466375989]"
71,"('cmp $0x3ff, %r13', 'jbe 0x25')",[0.1723002587596435]
72,"('cmp $0x3ff, %rax', 'jbe 0x1f6')",[0.1723002587596435]
73,"('cmp $0x3ff00000, %eax', 'jz 0x16f')","[0.1257095239931099, 0.8837830466375989]"
74,"('cmp $0x3ff00000, %eax', 'jz 0x64')","[0.2653715721109038, 0.8837830466375989]"
75,"('cmp $0x4, %dl', 'jnb 0x35')","[0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823]"
76,"('cmp $0x4, %rdx', 'jnz 0xffffffffffffff86')",[0.8837830466375989]
77,"('cmp $0x40, %rdx', 'jnbe 0xa5')","[0.30373257406888826, 0.32246623182651823]"
78,"('cmp $0x400368fc, %eax', 'jle 0x18b')","[0.9330530640196965, 0.8837830466375989]"
79,"('cmp $0x400368fc, %eax', 'jnle 0x12b')","[0.9641437579784188, 0.8837830466375989]"
80,"('cmp $0x419921fa, %eax', 'jnle 0x1db')","[0.9641437579784188, 0.8837830466375989]"
81,"('cmp $0x419921fa, %eax', 'jnle 0x2e0')","[0.9330530640196965, 0.8837830466375989]"
82,"('cmp $0x53, %r12b', 'jnbe 0x1d52')","[0.8573651068426256, 0.5698983367163684]"
83,"('cmp $0x7ff, %rax', 'jz 0xf9')","[0.9641437579784188, 0.8837830466375989]"
84,"('cmp $0x7ff00000, %eax', 'jnle 0xd')","[0.1257095239931099, 0.2653715721109038, 0.8837830466375989, 0.8837830466375989]"
85,"('cmp $0x7fffffff, %r15', 'jnle 0x348')","[0.1723002587596435, 0.30373257406888826, 0.32246623182651823]"
86,"('cmp $0x8, %dl', 'jnb 0x29')","[0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823]"
87,"('cmp $0xa, %ebx', 'jz 0xa3')","[0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.1723002587596435, 0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823]"
88,"('cmp $0xa, %edx', 'jz 0xfffffffffffffec3')","[0.8573651068426256, 0.5698983367163684]"
89,"('cmp $0xa, %r13d', 'jz 0xfffffffffffffa84')","[0.8573651068426256, 0.5698983367163684]"
90,"('cmp $0xc350, %edi', 'jnle 0x35')","[0.9641437579784188, 0.8837830466375989]"
91,"('cmp $0xffff3cb0, %edi', 'jl 0x63')","[0.9641437579784188, 0.8837830466375989]"
92,"('cmp $0xffffffff, %eax', 'jnz 0x36')",[0.1723002587596435]
93,"('cmp $0xffffffff, %eax', 'jnz 0xffffffffffffff4d')",[0.1723002587596435]
94,"('cmp $0xffffffff, %eax', 'jnz 0xffffffffffffffcb')","[0.8573651068426256, 0.5698983367163684]"
95,"('cmp $0xffffffff, %eax', 'jz 0x11')","[0.8573651068426256, 0.5698983367163684]"
96,"('cmp $0xffffffff, %eax', 'jz 0x150')","[0.1723002587596435, 0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823]"
